Contestant,Points
Russia,104296
Ukraine,99503
France,82562
Netherlands,17461
Australia,115780
Malta,27024
Poland,34301
Croatia,32230
Sweden,29020
Armenia,90195
Spain,46067
Lithuania,21032
Serbia,27928
Hungary,44020
Bulgaria,112538
Cyprus,27499
Belgium,36523
United Kingdom,7314
Ireland,3821
Israel,21653
Latvia,41951
Italy,41266
Austria,38925
Germany,20717
Azerbaijan,32936
Greece,5054
Norway,22395
Denmark,9910
Albania,8171
Czech Republic,33411
Bosnia and Herzegovina,8839
Iceland,30806
Estonia,15808
Finland,5856
North Macedonia,6504
Georgia,12263
Slovenia,4556
Switzerland,6187
Belarus,12099
San Marino,3435
Moldova,6234
Montenegro,2985
