Contestant,Points
Israel,143309
Cyprus,196767
Greece,56368
Portugal,39008
Estonia,88486
France,111732
Lithuania,44007
Bulgaria,120453
Norway,28452
Spain,35029
Netherlands,19810
Ukraine,67514
Poland,14917
Czech Republic,101608
Finland,75559
Sweden,62212
Italy,77730
Denmark,53234
Belgium,52658
Hungary,39081
Australia,54112
Ireland,35189
Albania,38986
Germany,69443
Serbia,14786
United Kingdom,18900
Belarus,38938
Austria,65729
Slovenia,26065
Croatia,12846
Moldova,22829
Armenia,13739
Russia,7399
North Macedonia,29328
Romania,6812
Malta,18729
Azerbaijan,25039
Latvia,16222
Switzerland,40363
Iceland,4079
Georgia,4218
Montenegro,4630
San Marino,4472
