Contestant,Points
Portugal,68225
Italy,96297
Belgium,128621
Bulgaria,116990
Netherlands,29039
Sweden,57879
Romania,31775
Greece,16998
Poland,24689
Hungary,44905
Croatia,13106
United Kingdom,53242
France,85592
Armenia,38962
Moldova,58362
Israel,28536
Azerbaijan,74389
Australia,22904
Ukraine,11990
Denmark,46124
Norway,37154
Serbia,17836
North Macedonia,40031
Estonia,27330
Germany,5228
Finland,31128
Ireland,9391
Lithuania,4141
Cyprus,30749
Spain,4491
Belarus,31759
Austria,22962
Albania,23512
Latvia,21897
Switzerland,40025
Iceland,16283
Malta,3707
Georgia,16306
Slovenia,2599
Montenegro,6955
San Marino,3115
Czech Republic,6119
