Contestant,Points
Italy,497
Belgium,335
Sweden,308
France,277
Estonia,242
Portugal,122
Bulgaria,120
North Macedonia,107
Israel,102
Finland,64
Denmark,43
Switzerland,41
Hungary,40
Australia,36
Azerbaijan,34
Norway,30
Romania,18
Montenegro,17
Belarus,15
Austria,14
Cyprus,13
Latvia,12
United Kingdom,12
Iceland,9
Armenia,7
Croatia,6
Greece,6
San Marino,5
Georgia,4
Ireland,4
Poland,4
Netherlands,3
Serbia,3
Czech Republic,2
Albania,0
Germany,0
Lithuania,0
Malta,0
Moldova,0
Russia,0
Slovenia,0
Spain,0
Ukraine,0
