Contestant,Points
Italy,411
Switzerland,406
Netherlands,401
Norway,224
Cyprus,218
Sweden,191
Azerbaijan,123
Iceland,114
Russia,106
Greece,89
Spain,69
Malta,64
France,25
San Marino,23
Slovenia,22
Denmark,19
Portugal,19
Belgium,17
North Macedonia,13
Albania,10
Armenia,9
Estonia,7
Poland,7
Czech Republic,6
United Kingdom,6
Israel,5
Australia,2
Hungary,2
Latvia,2
Austria,0
Belarus,0
Croatia,0
Finland,0
Georgia,0
Germany,0
Ireland,0
Lithuania,0
Moldova,0
Montenegro,0
Romania,0
Serbia,0
