Contestant,Votes
Greece,4009
Malta,3261
Switzerland,2453
France,2116
Croatia,1953
Italy,1764
Lithuania,1659
Cyprus,1585
Romania,1539
San Marino,1505
Serbia,1196
Finland,947
Bulgaria,923
Iceland,913
Spain,906
Ukraine,881
Albania,710
Azerbaijan,665
Israel,659
Sweden,619
Ireland,617
United Kingdom,597
Russia,583
Norway,499
Belgium,490
Australia,395
The Netherlands,383
Moldova,331
Portugal,310
Czech Republic,269
Latvia,266
Germany,264
Denmark,252
Slovenia,233
Estonia,216
Austria,138
Poland,126
North Macedonia,109
Georgia,85
