Contestant,Votes
Spain,2601
Sweden,2155
Italy,2036
Poland,1629
United Kingdom,1505
Serbia,1386
Netherlands,1264
Greece,1161
Ukraine,1138
Albania,874
France,713
Portugal,693
Norway,566
Cyprus,493
Lithuania,369
Estonia,352
Australia,337
Czech Republic,316
Austria,306
Finland,291
Armenia,280
Ireland,261
Romania,231
Malta,200
Bulgaria,200
Belgium,180
Croatia,148
Slovenia,146
Azerbaijan,139
Iceland,137
Israel,127
Latvia,121
Moldova,113
San Marino,112
Georgia,110
North Macedonia,104
Germany,101
Montenegro,95
Denmark,81
Switzerland,78
