Contestant,Votes
Netherlands,51174
Russia,18098
Sweden,15440
Italy,14005
Iceland,11047
Switzerland,10630
France,10171
Greece,9411
Norway,8274
Azerbaijan,7498
Australia,7269
Cyprus,6556
Georgia,6446
Malta,5537
Belarus,4820
Spain,4786
Israel,4694
Portugal,4480
Armenia,3940
Albania,3205
Slovenia,3034
Poland,2707
Serbia,2707
North Macedonia,2304
United Kingdom,2294
Estonia,2262
Belgium,2183
Denmark,2065
Romania,1893
San Marino,1876
Lithuania,1844
Croatia,1707
Germany,1603
Czech Republic,1509
Ireland,1399
Finland,1386
Hungary,1385
Austria,1195
Latvia,1104
Montenegro,1062
Moldova,1049
