Contestant,Votes
Italy,36383
France,32651
Malta,28502
Switzerland,22613
Lithuania,17184
Iceland,16402
Ukraine,15448
Finland,13167
Serbia,12594
Cyprus,11609
Azerbaijan,11061
Greece,10850
Israel,10781
Sweden,9865
Portugal,9485
Bulgaria,9015
Russia,8237
Norway,8062
San Marino,5673
Netherlands,5557
Croatia,5357
Belgium,5176
Romania,4983
Albania,4770
United Kingdom,4214
Spain,3931
Germany,2553
Denmark,2509
Poland,2256
Latvia,1960
Moldova,1953
Ireland,1895
Estonia,1328
Slovenia,1178
Australia,1133
Czech Republic,1027
Austria,977
North Macedonia,972
Georgia,812
