Contestant,Votes
Russia,13468
Ukraine,13057
France,7137
Netherlands,5043
Australia,4799
Malta,3730
Poland,3626
Croatia,3190
Sweden,3073
Armenia,3014
Spain,2936
Lithuania,2154
Serbia,2129
Hungary,2080
Bulgaria,1866
Cyprus,1743
Belgium,1636
United Kingdom,1615
Ireland,1467
Israel,1335
Latvia,1219
Italy,1165
Austria,1126
Germany,1017
Azerbaijan,996
Greece,895
Norway,871
Denmark,618
Albania,483
Czech Republic,443
Bosnia and Herzegovina,439
Iceland,425
Estonia,390
Finland,375
North Macedonia,284
Georgia,277
Slovenia,277
Romania,267
Switzerland,217
Belarus,213
San Marino,156
Moldova,130
Montenegro,59
