Contestant,Votes
Ukraine,24631
Spain,24585
Sweden,23073
Italy,21213
United Kingdom,18484
Serbia,16544
Greece,14267
Portugal,13492
Poland,12445
Netherlands,12345
Norway,8522
Armenia,7234
France,6140
Lithuania,5358
Finland,4592
Moldova,4365
Romania,4179
Azerbaijan,4151
Belgium,3607
Albania,3438
Estonia,3120
Australia,3046
Cyprus,2794
Malta,2731
Austria,2300
Czech Republic,2286
Iceland,2265
Israel,1887
Bulgaria,1796
Ireland,1745
Germany,1653
Latvia,1597
North Macedonia,1501
Slovenia,1446
Montenegro,1436
Switzerland,1257
Croatia,1233
San Marino,1014
Denmark,1013
Georgia,764
