Contestant,Votes
Israel,20250
Cyprus,13023
Greece,6334
Portugal,6225
Estonia,5964
France,5306
Lithuania,5221
Bulgaria,5180
Norway,4333
Spain,4246
Netherlands,4145
Ukraine,3438
Poland,3344
Czech Republic,2809
Finland,2781
Sweden,2744
Italy,2679
Denmark,2615
Belgium,2489
Hungary,2032
Australia,1962
Ireland,1924
Albania,1826
Germany,1568
Serbia,1568
United Kingdom,1424
Belarus,1160
Austria,1133
Slovenia,855
Croatia,785
Moldova,734
Armenia,699
Russia,663
North Macedonia,637
Romania,615
Malta,561
Azerbaijan,497
Latvia,425
Switzerland,309
Iceland,289
Georgia,266
Montenegro,233
San Marino,220
