Contestant,Online Points,Jury Points
Italy,401,401
Sweden,271,271
Belgium,245,245
Australia,243,243
Portugal,225,225
Bulgaria,214,214
Netherlands,162,162
France,152,152
Austria,142,142
North Macedonia,139,139
Croatia,126,126
United Kingdom,125,125
Denmark,124,124
Azerbaijan,122,122
Finland,113,113
Spain,100,100
Switzerland,97,97
Belarus,90,90
Norway,85,85
Serbia,75,75
Ireland,73,73
Israel,66,66
Albania,65,65
Latvia,64,64
Iceland,62,62
Moldova,60,60
Czech Republic,57,57
Hungary,53,53
Russia,51,51
Poland,48,48
Malta,47,47
Cyprus,47,47
Romania,42,42
Estonia,40,40
Montenegro,39,39
Greece,35,35
Georgia,34,34
Ukraine,33,33
Armenia,30,30
Lithuania,24,24
Germany,23,23
San Marino,22,22
Slovenia,20,20
