Contestant,Online Points,Jury Points
France,165,179
Australia,58,284
Spain,141,141
Sweden,85,179
Ukraine,143,120
Russia,80,146
Bulgaria,167,57
Malta,121,95
Belgium,34,144
Croatia,127,50
Netherlands,67,107
Italy,71,77
Bosnia and Herzegovina,142,3
United Kingdom,51,86
Czech Republic,78,45
Latvia,98,19
Azerbaijan,31,84
Ireland,53,59
Armenia,64,44
Cyprus,35,70
Serbia,55,45
Iceland,75,17
Israel,24,64
Poland,47,33
Norway,42,33
Estonia,53,13
Hungary,53,11
Austria,44,19
Finland,24,38
Lithuania,30,25
Germany,44,11
Denmark,8,46
Romania,11,41
Macedonia,36,15
Switzerland,36,5
Georgia,15,23
Slovenia,21,15
Marino,13,15
Belarus,11,10
Greece,10,7
Albania,7,8
Moldova,10,0
Montenegro,6,3
